Date,GPE,Latitude,Longitude,Country
1,RUSSIA,64.6863136,97.7453061,Russia
1,UKRAINE,49.4871968,31.2718321,Ukraine
1,UNITED STATES,39.7837304,-100.445882,United States
1,CANADA,61.0666922,-107.991707,Canada
1,HUNGARY,47.1817585,19.5060937,Hungary
1,BRUSSELS,50.8465573,4.351697,Belgium
1,MOSCOW,55.7504461,37.6174943,Russia
1,BEREGOVO,48.2050985,22.6453246,Ukraine
1,IDEN,52.7794495,11.9141261,Germany
1,GENEVA,46.2017559,6.1466014,Switzerland
1,ITALY,42.6384261,12.674297,Italy
1,TURKEY,38.9597594,34.9249653,Turkey
1,EUROPE,51.0,10.0,Germany
2,RUSSIA,64.6863136,97.7453061,Russia
2,UKRAINE,49.4871968,31.2718321,Ukraine
2,KYIV,50.4500336,30.5241361,Ukraine
2,KHARKIV,49.9923181,36.2310146,Ukraine
2,UNITED STATES,39.7837304,-100.445882,United States
2,MOSCOW,55.7504461,37.6174943,Russia
2,LVIV,49.841952,24.0315921,Ukraine
2,BELARUS,53.4250605,27.6971358,Belarus
2,LUHANSK,49.2724587,38.9150477,Ukraine
2,GERMANY,51.0834196,10.4234469,Germany
2,UNITED ARAB EMIRATES,24.0002488,53.9994829,United Arab Emirates
2,SYRIA,34.6401861,39.0494106,Syria
2,IRAQ,33.0955793,44.1749775,Iraq
2,ZHYTOMYR,50.9080532,28.3867504,Ukraine
2,CRIMEA,45.28350435,34.20081877526554,Ukraine
2,DONBAS,49.4183248,17.310880143943606,Czechia
2,GENEVA,46.2017559,6.1466014,Switzerland
2,BEIJING,39.906217,116.3912757,China
2,TURKEY,38.9597594,34.9249653,Turkey
2,HABECK,42.323332,-73.646609,United States
2,BERLIN,52.5170365,13.3888599,Germany
2,UNITED KINGDOM,54.7023545,-3.2765753,United Kingdom
2,POLAND,52.215933,19.134422,Poland
2,VINNYTSIA,48.8990315,28.516068,Ukraine
2,KHARKIV CITY,49.99221885,36.272354296005254,Ukraine
2,SR CONSTANT,37.2220684,-76.7877164,United States
2,ECHO,45.7419049,-119.1948348,United States
2,CANADA,61.0666922,-107.991707,Canada
2,MALDIVES,4.7064352,73.3287853,Maldives
2,SPOTIFY,52.2036208,0.1316263,United Kingdom
2,ROMANIA,45.9852129,24.6859225,Romania
2,CZECH REPUBLIC,49.8167003,15.4749544,Czechia
2,INDIA,22.3511148,78.6677428,India
2,NEW DELHI,28.6138954,77.2090057,India
2,SWEDEN,59.6749712,14.5208584,Sweden
2,BLINKEN,70.6538402,23.6965447,Norway
2,FRANCE,46.603354,1.8883335,France
2,DNIEPER RIVER,51.9191343,30.8243039,Ukraine
2,TAIWAN,23.9739374,120.9820179,Taiwan
2,GEORGIA,32.3293809,-83.1137366,United States
2,CHINA,35.000074,104.999927,China
2,PAKISTAN,30.3308401,71.247499,Pakistan
2,ISRAEL,31.5313113,34.8667654,Israel
2,NORTH KOREA,40.3736611,127.0870417,North Korea
2,HOLOCAUST,49.6089657,6.1317644,Luxembourg
2,GULF,29.9665252,-85.2175889,United States
2,EUROPE,51.0,10.0,Germany
2,CRIMEAN PENINSULA,45.28350435,34.20081877526554,Ukraine
