Source,Date,GPE/LOC
Aljazeera,2_Mar_2022,Russia
Aljazeera,2_Mar_2022,Ukraine
Aljazeera,2_Mar_2022,Ukrainian
Aljazeera,2_Mar_2022,Russia
Aljazeera,7_Mar_2022,Russia
Aljazeera,7_Mar_2022,Moscow
Aljazeera,12_Mar_202,Croatia
Aljazeera,12_Mar_202,Romania
Aljazeera,12_Mar_202,Hungary
Aljazeera,12_Mar_202,Croatia
Aljazeera,21_Mar_202,Ukraine
Aljazeera,21_Mar_202,Ukraine
Aljazeera,21_Mar_202,Ukraine
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Ukraine
Aljazeera,21_Mar_202,US
Aljazeera,21_Mar_202,Russia
Aljazeera,21_Mar_202,Ukraine
Aljazeera,21_Mar_202,US
Aljazeera,21_Mar_202,Russia
Aljazeera,21_Mar_202,Ukraine
Aljazeera,21_Mar_202,Iran
Aljazeera,21_Mar_202,Washington
Aljazeera,21_Mar_202,US
Aljazeera,21_Mar_202,Russia
Aljazeera,21_Mar_202,US
Aljazeera,16_Mar_202,Kyiv
Aljazeera,16_Mar_202,Chernihiv
Aljazeera,16_Mar_202,Kyiv
Aljazeera,16_Mar_202,Ukrainian
Aljazeera,16_Mar_202,Chernihiv
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,U.S.
Aljazeera,16_Mar_202,Chernihiv
Aljazeera,16_Mar_202,Ukraine
Aljazeera,23_Mar_202,Ulvinform
Aljazeera,23_Mar_202,Ukraine
Aljazeera,15_Mar_202,Ukraine
Aljazeera,15_Mar_202,Russia
Aljazeera,15_Mar_202,Chernobyl
Aljazeera,15_Mar_202,Chernobyl
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Tuzla
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Ukraine
Aljazeera,18_Mar_202,Ukraine
Aljazeera,31_Mar_202,Kharkiv
Aljazeera,31_Mar_202,Ukraine
Aljazeera,31_Mar_202,Telegram
Aljazeera,31_Mar_202,Moscow
Aljazeera,31_Mar_202,Derhachi
Aljazeera,31_Mar_202,Kharkiv
Aljazeera,31_Mar_202,Vinnytsia Ukraine
Aljazeera,31_Mar_202,Ukraine
Aljazeera,31_Mar_202,Russia
Aljazeera,15_Mar_202,Mykolaiv city
Aljazeera,15_Mar_202,Ukraine
Aljazeera,10_Mar_202,Ukraine
Aljazeera,10_Mar_202,Russia
Aljazeera,10_Mar_202,Ukraine
Aljazeera,10_Mar_202,Moscow
Aljazeera,10_Mar_202,US
Aljazeera,10_Mar_202,Saudi Arabia
Aljazeera,10_Mar_202,Russia
Aljazeera,10_Mar_202,Russia
Aljazeera,10_Mar_202,iraq
Aljazeera,18_Mar_202,Russia
Aljazeera,18_Mar_202,Ukraine
Aljazeera,18_Mar_202,Ukraine
Aljazeera,18_Mar_202,Russia
Aljazeera,18_Mar_202,RUSSIA
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Ukraine
Aljazeera,26_Mar_202,Lviv
Aljazeera,26_Mar_202,Russia
Aljazeera,26_Mar_202,Ukraine
Aljazeera,26_Mar_202,Lviv
Aljazeera,16_Mar_202,US
Aljazeera,16_Mar_202,The United States
Aljazeera,16_Mar_202,Russia
Aljazeera,16_Mar_202,Ukraine
Aljazeera,16_Mar_202,Australia
Aljazeera,16_Mar_202,United Kingdom
Aljazeera,16_Mar_202,Canada
Aljazeera,16_Mar_202,Germany
Aljazeera,16_Mar_202,France
Aljazeera,16_Mar_202,Italy
Aljazeera,16_Mar_202,Japan
Aljazeera,8_Mar_2022,US
Aljazeera,8_Mar_2022,Russia
Aljazeera,8_Mar_2022,US
Aljazeera,8_Mar_2022,US
Aljazeera,8_Mar_2022,Russia
Aljazeera,8_Mar_2022,US
Aljazeera,8_Mar_2022,US
