Source,Date,GPE/LOC
CNN,March_19_2022,Russia
CNN,March_19_2022,Ukraine
CNN,March_19_2022,London
CNN,March_19_2022,Antalya
CNN,March_19_2022,Turkey
CNN,March_19_2022,Russia
CNN,March_19_2022,Ukraine
CNN,March_19_2022,Ukraine
CNN,March_19_2022,Moscow
CNN,March_19_2022,Ukraine
CNN,March_19_2022,Russia
CNN,March_19_2022,China
CNN,March_19_2022,Beijing
CNN,March_19_2022,Russia
CNN,March_19_2022,China
CNN,March_19_2022,Ukraine Beijing
CNN,March_19_2022,US
CNN,March_19_2022,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukrainian
CNN,_March_28_202,Rivne
CNN,_March_28_202,Ukraine
CNN,March_23_2022,US
CNN,March_23_2022,Brussels
CNN,March_23_2022,US
CNN,March_23_2022,Ukraine
CNN,March_23_2022,Ukraine
CNN,March_23_2022,Madrid
CNN,March_23_2022,Russia
CNN,March_23_2022,Ukraine
CNN,March_23_2022,Belarus
CNN,March_23_2022,China
CNN,March_23_2022,Russia
CNN,March_23_2022,Russia
CNN,March_23_2022,US
CNN,March_10_2022,US
CNN,March_10_2022,Mexico
CNN,March_10_2022,the United States
CNN,March_10_2022,US
CNN,March_10_2022,US
CNN,March_10_2022,San Ysidro
CNN,March_10_2022,California
CNN,March_10_2022,Tijuana Mexico
CNN,March_10_2022,San Diego
CNN,March_10_2022,Ukraine
CNN,March_10_2022,Ukraine
CNN,March_10_2022,Poland
CNN,March_10_2022,US
CNN,March_10_2022,the United States
CNN,_March_19_202,Russia
CNN,_March_19_202,Switzerland
CNN,_March_19_202,Moscow
CNN,_March_19_202,Switzerland
CNN,_March_19_202,Russia
CNN,_March_19_202,Switzerland
CNN,_March_19_202,Switzerland
CNN,_March_19_202,Russia
CNN,_March_19_202,Russia
CNN,_March_19_202,Russia
CNN,_March_19_202,Russia
CNN,March_46_2022,US
CNN,March_46_2022,US
CNN,March_46_2022,US
CNN,March_4_2022.,US
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Brussels
CNN,March_4_2022.,US
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,the United States
CNN,March_4_2022.,Washington
CNN,March_4_2022.,Ukrainian
CNN,March_4_2022.,Russia
CNN,March_4_2022.,Blinken
CNN,March_4_2022.,Brussels
CNN,March_4_2022.,Russia
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Russia
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Ukraine
CNN,March_4_2022.,Ukrainian
CNN,March_4_2022.,Brussels
CNN,March_7_2022.,Ukraine
CNN,March_7_2022.,Ukraine
CNN,March_7_2022.,Russia
CNN,March_7_2022.,Russia
CNN,March_7_2022.,Russia
CNN,March_7_2022.,Russia
CNN,March_7_2022.,Russia
CNN,March_8_2022.,Russia
CNN,March_8_2022.,Iran
CNN,March_8_2022.,Russia
CNN,March_8_2022.,Iran
CNN,March_8_2022.,Moscow
CNN,March_8_2022.,Iran
CNN,March_8_2022.,Ukraine
CNN,March_8_2022.,Tehran
CNN,March_8_2022.,Nuland
CNN,March_8_2022.,Russia
CNN,March_8_2022.,Iran
CNN,March_8_2022.,Ukraine
CNN,March_8_2022.,Iran
CNN,March_8_2022.,Indiana
CNN,March_8_2022.,Ukraine
CNN,March_8_2022.,Nuland
CNN,March_8_2022.,Russia
CNN,March_8_2022.,Nuland
CNN,March_8_2022.,US
CNN,March_8_2022.,Russia
CNN,March_8_2022.,Iran
CNN,March_8_2022.,US
CNN,March_8_2022.,Russia
CNN,March_8_2022.,US
CNN,March_8_2022.,Iran
CNN,March_26_2022,Warsaw
CNN,March_26_2022,Poland
CNN,March_26_2022,Warsaw
CNN,March_26_2022,the United States
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,March_14_2022,Russia
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,March_14_2022,Ukraine
CNN,March_14_2022,The United States
CNN,March_14_2022,US
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,March_14_2022,Ukraine
CNN,March_14_2022,US
CNN,_March_14_202,Ukraine
CNN,_March_14_202,Ukraine
CNN,_March_14_202,Mariupol
CNN,_March_19_202,Ukraine
CNN,_March_19_202,Russia
CNN,_March_19_202,London
CNN,_March_19_202,Medyka Poland
CNN,_March_19_202,Ukraine
CNN,_March_19_202,Russia
CNN,_March_19_202,Ukraine
CNN,_March_19_202,Ukraine
CNN,_March_19_202,Romania
CNN,_March_19_202,Poland
CNN,_March_19_202,Ukraine
CNN,_March_9_2022,Ukrainian
CNN,March_2_2022.,Ukraine
CNN,March_2_2022.,Russia
CNN,March_2_2022.,Russia
CNN,March_29_2022,Moscow
CNN,March_29_2022,Chernihiv
CNN,_March_22_202,Ukraine
CNN,_March_22_202,Versailles
CNN,_March_22_202,Paris
CNN,_March_22_202,Ukraine
CNN,_March_22_202,Leyen
CNN,_March_22_202,Leyen
CNN,_March_22_202,Russia
CNN,March_2_2022.,Gotland
CNN,March_2_2022.,Sweden
CNN,March_2_2022.,Sweden
CNN,March_2_2022.,Russia
CNN,_March_21_202,Ukraine
CNN,_March_21_202,Russia
CNN,_March_21_202,Russia
CNN,_March_21_202,Russia
CNN,_March_21_202,Ukrainian
CNN,_March_21_202,Russia
CNN,_March_21_202,Russia
CNN,_March_21_202,Russia
CNN,_March_21_202,Russia
CNN,_March_21_202,Donbas
CNN,_March_21_202,Crimea
CNN,_March_21_202,Ukrainian
CNN,_March_21_202,US
CNN,_March_21_202,Poland
CNN,_March_21_202,US
CNN,_March_21_202,Warsaw
CNN,_March_21_202,Poland
CNN,_March_21_202,G7
CNN,_March_21_202,the United States
CNN,_March_21_202,Russia
CNN,_March_21_202,Ukraine
CNN,_March_21_202,Podilskyi
CNN,_March_21_202,Podilskyi
CNN,_March_21_202,Kyiv
CNN,_March_21_202,Podilskyi
CNN,_March_21_202,Podilskyi
CNN,_March_21_202,Ukraine
CNN,March_16_2022,US
CNN,March_16_2022,Ukraine
CNN,March_16_2022,US
CNN,March_16_2022,Ukraine
CNN,March_16_2022,Ukraine
CNN,March_16_2022,Ukraine
CNN,March_16_2022,Ukraine
CNN,March_16_2022,Ukraine
CNN,March_16_2022,Russia
CNN,March_16_2022,Ukraine
CNN,March_22_2022,Mariupol
CNN,March_22_2022,Ukraine
CNN,March_22_2022,Luhansk
CNN,March_22_2022,US
CNN,March_22_2022,Russia
CNN,March_22_2022,US
CNN,March_22_2022,US
CNN,March_22_2022,US
CNN,March_22_2022,US
CNN,March_22_2022,Ukraine
CNN,March_22_2022,Russia
CNN,March_22_2022,US
CNN,March_22_2022,US
CNN,March_22_2022,Russia
CNN,March_22_2022,Russia
CNN,March_22_2022,Russia
CNN,March_22_2022,Ukraine
CNN,March_22_2022,US
CNN,March_22_2022,Russia
CNN,March_17_2022,US
CNN,March_17_2022,Ukraine
CNN,March_17_2022,US
CNN,March_17_2022,US
CNN,March_17_2022,US
CNN,March_17_2022,Ukraine
CNN,March_17_2022,Russia
CNN,March_17_2022,Ukraine
CNN,March_17_2022,Russia
CNN,March_5_2022.,Ukraine
CNN,March_5_2022.,Ukraine
CNN,March_5_2022.,Russia
CNN,March_5_2022.,Ukraine
CNN,March_27_2022,US
CNN,March_27_2022,US
CNN,March_27_2022,Russia
CNN,March_27_2022,US
CNN,March_27_2022,Warsaw
CNN,March_27_2022,Poland
CNN,March_27_2022,US
CNN,March_27_2022,US
CNN,March_27_2022,Warsaw
CNN,March_27_2022,Ukraine
CNN,March_27_2022,Russia
CNN,March_27_2022,Ukraine
CNN,March_27_2022,US
CNN,March_27_2022,Russia
CNN,March_27_2022,Israel
CNN,March_27_2022,Ukraine
CNN,March_27_2022,Bash
CNN,March_27_2022,US
CNN,March_27_2022,Ukraine
CNN,March_26_2022,US
CNN,March_26_2022,Ukraine
CNN,March_26_2022,Lviv Ukraine
CNN,March_26_2022,US
CNN,March_26_2022,the United States
CNN,March_26_2022,Ukraine
CNN,_March_47_202,Australia
CNN,_March_47_202,Australia
CNN,_March_47_202,Australia
CNN,_March_47_202,Australia
CNN,_March_47_202,Russia
CNN,_March_47_202,Russia
CNN,_March_47_202,Russia
CNN,_March_47_202,Australia
CNN,_March_47_202,Queensland Alumina
CNN,_March_47_202,Australia
CNN,_March_47_202,Russia
CNN,_March_47_202,Ukraine
CNN,_March_47_202,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Russia
CNN,_March_5_2022,US
CNN,_March_5_2022,Rzeszow Poland
CNN,_March_5_2022,Russia
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,the United States
CNN,_March_5_2022,the United States
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Poland
CNN,_March_5_2022,Chernobyl
CNN,_March_5_2022,Hong Kong
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Chernobyl
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,RUSSIA
CNN,_March_5_2022,UKRAINE
CNN,_March_5_2022,London
CNN,_March_5_2022,US
CNN,_March_5_2022,US
CNN,_March_5_2022,New Orleans
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,Russia
CNN,_March_5_2022,US
CNN,_March_5_2022,Bipartisan
CNN,_March_5_2022,Russia
CNN,_March_5_2022,Ukraine
CNN,_March_5_2022,US
CNN,March_29_2022,China
CNN,March_29_2022,Russia
CNN,March_29_2022,Ukraine
CNN,March_29_2022,Brussels
CNN,March_29_2022,China
CNN,March_29_2022,Ukraine
CNN,March_29_2022,China
CNN,March_29_2022,China
CNN,March_29_2022,China
CNN,March_29_2022,China
CNN,March_29_2022,China
CNN,March_29_2022,Russia
CNN,March_29_2022,China
CNN,March_29_2022,Russia
CNN,March_29_2022,China
CNN,March_29_2022,Russia
CNN,March_29_2022,China
CNN,March_29_2022,Russia
CNN,March_29_2022,Leyen
CNN,March_29_2022,Ukraine
CNN,March_29_2022,Ukraine
CNN,March_29_2022,Russia
CNN,March_43_2022,Russia
CNN,March_43_2022,the Roosevelt Room
CNN,March_43_2022,Washington DC
CNN,March_43_2022,Us
CNN,March_43_2022,Russia
CNN,March_43_2022,Ukraine
CNN,March_43_2022,France
CNN,March_43_2022,Russia
CNN,March_43_2022,Ukraine
CNN,March_43_2022,Russia
CNN,March_43_2022,Ukraine
CNN,March_43_2022,Russia
CNN,March_43_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,March_14_2022,New York
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukrainian
CNN,March_14_2022,Irpin
CNN,March_14_2022,Ukraine
CNN,March_14_2022,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Poland
CNN,h_6_2022.txt,Medyka Poland
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Poland
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,UK
CNN,h_6_2022.txt,UK
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,UK
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Ukraii
CNN,h_6_2022.txt,UK
CNN,h_6_2022.txt,Paris
CNN,h_6_2022.txt,Elysee
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Russia
CNN,h_6_2022.txt,Moscow
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,h_6_2022.txt,Ukraine
CNN,March_8_2022.,US
CNN,March_8_2022.,the United States
CNN,March_8_2022.,America
CNN,March_8_2022.,Arkansas
CNN,March_8_2022.,US
CNN,March_8_2022.,Russia
CNN,March_8_2022.,US
CNN,March_8_2022.,Ukraine
CNN,March_8_2022.,US
CNN,March_8_2022.,US
CNN,March_8_2022.,Florida
CNN,March_8_2022.,America
CNN,March_8_2022.,Washington
CNN,March_8_2022.,US
CNN,March_8_2022.,US
CNN,March_8_2022.,Michigan
CNN,March_8_2022.,Colorado
CNN,March_8_2022.,Minnesota
CNN,March_8_2022.,New Mexico
CNN,March_8_2022.,Pennsylvania
CNN,March_8_2022.,Wisconsin
CNN,March_24_2022,US
CNN,March_24_2022,Ukraine
CNN,March_24_2022,US
CNN,March_24_2022,Ukraine
CNN,March_24_2022,Slovakia
CNN,March_24_2022,Bulgaria
CNN,March_24_2022,Brussels
CNN,March_24_2022,US
CNN,March_24_2022,Slovakia
CNN,March_24_2022,Slovakia
CNN,March_24_2022,Ukraine
CNN,March_24_2022,US
CNN,March_25_2022,France
CNN,March_25_2022,Paris
CNN,March_25_2022,Brussels
CNN,March_25_2022,Ukrainian
CNN,March_25_2022,Brussels
