Source,Date,GPE/LOC
FOX,Maren_15,Russia
FOX,March_16,Russia
FOX,Maren_15,Russia
FOX,Maren_15,Belarus
FOX,March_22,US
FOX,March_22,Ukrainian
FOX,March_22,U.S.
FOX,March_22,Russia
FOX,March_22,Donetsk
FOX,March_22,Luhansk
FOX,March_22,Russia
FOX,March_22,Russia
FOX,March_25,Russia
FOX,March_25,Moscow
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Russia
FOX,March_29,Ukraine
FOX,March_29,Turkey
FOX,March_29,Ukraine
FOX,March_29,Turkey
FOX,March_29,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_13,Russia
FOX,March_13,Ukraine
FOX,March_26,Luhansk
FOX,March_16,the United States
FOX,March_16,Ukraine
FOX,March_28,Russia
FOX,March_28,Ukrainian
FOX,March_28,Getty Images
FOX,March_28,Russia
FOX,March_28,U.S.
FOX,March_28,Ukraine
FOX,March_28,Russia
FOX,March_28,Russia
FOX,March_28,Telegram
FOX,March_28,Russia
FOX,March_25,Ursula
FOX,March_25,Leyen
FOX,March_25,Brussels
FOX,March_25,U.S.
FOX,March_25,Ukraine
FOX,March_12,Ukrainian
FOX,March_12,Mariupol
FOX,Maren_19,Luxembourg
FOX,March_23,Ukraine
FOX,March_28,Russia
FOX,March_28,Ukraine
FOX,March_28,U.S.
FOX,March_21,Russia
FOX,March_21,Ukraine
FOX,March_21,Russia
FOX,March_21,Ukraine
FOX,March_22,Russia
FOX,March_22,Ukraine
FOX,March_22,Ukrainian
FOX,March_28,Ukraine
FOX,March_28,UKRAINE
FOX,March_26,Ukraine
FOX,March_26,Ukraine
FOX,March_26,Russia
FOX,March_18,Ukraine
FOX,March_18,Ukraine
FOX,March_18,the Russian Federation
FOX,Maren_15,Ukraine Russia
FOX,Maren_15,Russia
FOX,Maren_15,Britain
FOX,Maren_15,Sweden
FOX,Maren_15,Russia
FOX,Maren_15,Russia
FOX,Maren_15,Ukraine
FOX,Maren_15,Ukraine
FOX,Maren_15,London
FOX,March_29,Russia
FOX,March_17,Ukrainian
FOX,March_19,the United States
FOX,March_19,France
FOX,March_19,the United States
FOX,March_19,France
FOX,March_18,China
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_18,China
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_18,U.S.
FOX,March_18,China
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_18,U.S.
FOX,March_18,China
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_18,Beijing
FOX,March_18,Moscow
FOX,March_18,Russia
FOX,March_21,Ukraine
FOX,March_21,Ukraine
FOX,March_21,Mariupol
FOX,March_29,Russia
FOX,March_29,Donbas
FOX,March_29,U.S.
FOX,March_29,Donbas
FOX,March_29,Ukraine
FOX,March_29,Donbas
FOX,March_29,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_24,US
FOX,March_24,Russia
FOX,March_24,the United States
FOX,March_24,U.S.
FOX,March_24,the United States
FOX,March_24,Ukraine
FOX,March_24,Russia
FOX,March_24,Russia
FOX,March_24,Ukraine
FOX,March_24,US
FOX,March_18,Ukraine
FOX,March_18,America
FOX,March_18,Lviv
FOX,March_24,Russia
FOX,March_24,Ukraine
FOX,ch_24th_,Ukraine
FOX,March_16,Ukraine
FOX,March_16,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_29,Istanbul
FOX,March_29,Turkey
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_14,Ukraine
FOX,March_24,Ukraine
FOX,March_26,Poland
FOX,March_26,Warsaw
FOX,March_26,Ukrainian
FOX,March_26,Warsaw
FOX,March_26,Poland
FOX,March_26,Ukrainian
FOX,March_26,Poland
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Georgia
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Ukraine
FOX,March_21,Ukraine
FOX,March_21,Russia
FOX,March_21,The United Kingdom's
FOX,March_21,Ukraine
FOX,March_21,Russia
FOX,March_14,Russia
FOX,March_14,Ukraine
FOX,March_14,Poland
FOX,March_14,Russia
FOX,March_14,Ukraine
FOX,March_13,Arkansas
FOX,March_13,Arkansas
FOX,March_13,Little Rock
FOX,March_13,Ukraine
FOX,March_18,China
FOX,March_18,U.S.
FOX,March_18,Beijing
FOX,March_18,China
FOX,March_18,U.S.
FOX,March_18,Beijing
FOX,March_18,Russia
FOX,March_18,the United States
FOX,March_18,PRC
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_18,Beijing
FOX,March_18,Russia
FOX,March_18,Ukraine
FOX,March_22,Ukraine
FOX,March_22,Ukraine
FOX,March_22,Getty Images
FOX,March_22,Ukraine
FOX,March_22,Russia
FOX,March_22,Ukraine
FOX,March_27,Russia
FOX,March_27,U.S.
FOX,March_14,Kyiv
FOX,March_28,Russia
FOX,March_28,Ukraine
FOX,March_13,U.S.
FOX,March_13,Ukraine
FOX,March_13,U.S.
FOX,March_13,United States
FOX,March_13,the Russian Federation
FOX,March_13,Ukraine
FOX,March_13,Poland
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Ukrainian
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_25,Russia
FOX,March_25,Donetsk
FOX,March_25,Luhansk
FOX,March_25,Ukraine
FOX,March_25,Russia
FOX,March_12,Russia
FOX,March_23,U.S.
FOX,March_23,Ukraine
FOX,March_18,Ukrainian
FOX,March_18,Ukraine
FOX,March_18,Sweden
FOX,March_15,UK
FOX,March_15,Russia
FOX,March_15,The United Kingdom
FOX,March_15,Russia
FOX,March_15,U.K.
FOX,March_15,G7
FOX,March_15,Moscow
FOX,March_22,Ukraine Ukraine
FOX,March_22,Ukraine
FOX,March_21,Ukraine
FOX,March_21,Ashley Strohmier
FOX,March_19,Russia
FOX,March_19,Ukraine
FOX,March_19,Ukraine
FOX,March_15,Ukraine
FOX,March_15,Ukraine
FOX,March_16,US
FOX,March_16,UKRAINE
FOX,Maren_17,Russia
FOX,Maren_17,U.S.
FOX,Maren_17,Russia
FOX,Maren_17,Ukraine
FOX,Maren_17,Germany
FOX,March_22,U.S.
FOX,March_22,Russia
FOX,March_22,Russia
FOX,March_29,France
FOX,March_29,Germany
FOX,March_29,Italy
FOX,March_29,the United Kingdom
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Ukraine
FOX,March_29,Mariupol
FOX,March_29,Russia
FOX,March_29,Ukrainian
FOX,March_18,India
FOX,March_18,Russia
FOX,March_18,India
FOX,March_18,Russia
FOX,March_18,U.S.
FOX,March_25,Ukraine
FOX,March_21,China
FOX,March_21,rOmCM
FOX,March_17,Ukraine
FOX,March_29,US
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_29,the United States
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_29,Singapore
FOX,March_29,Russia
FOX,March_29,Ukraine
FOX,March_29,US
FOX,March_29,Ukraine
FOX,March_29,Russia
FOX,March_19,Russia
FOX,March_19,Moscow
FOX,March_19,Russia
FOX,March_19,Ukraine
FOX,March_19,Ukraine
FOX,March_19,Ukraine
FOX,March_19,Russia
FOX,March_19,Russia
FOX,March_19,Russia
FOX,March_19,Ukraine
FOX,March_19,Ukraine
FOX,March_19,Crimea
FOX,March_19,Russia
FOX,March_19,UK
FOX,March_19,Russia
FOX,March_19,Ukraine
FOX,March_22,Ukrainian
FOX,March_22,Lviv
FOX,March_26,Russia
FOX,March_13,US
FOX,March_13,US
FOX,March_13,Russia
FOX,March_13,Russia
FOX,March_16,US
FOX,March_16,U.S.
FOX,March_16,Ukraine
FOX,March_16,U.S.
FOX,March_16,U.S.
FOX,March_16,America
FOX,March_16,Ukraine
FOX,March_16,UKRAINE
FOX,March_21,Ukraine
FOX,March_21,Ukraine
FOX,March_21,Ukraine
FOX,March_16,Ukraine
FOX,March_29,US
FOX,March_29,Morocco
FOX,March_21,Ukraine
FOX,March_21,Russia
FOX,March_21,Ukraine
FOX,March_21,Ukraine
FOX,March_21,Russia
FOX,March_21,Ukraine
FOX,March_21,Mariupol
FOX,Maren_17,Ukraine
FOX,March_26,U.S.
FOX,March_26,U.S.
FOX,March_26,Ukraine
FOX,March_26,the United States
FOX,March_26,U.S.
FOX,March_26,Ukraine
FOX,March_26,S United States
FOX,March_26,Poland
FOX,March_26,Ukraine
FOX,March_26,the United States
FOX,March_27,Lviv
FOX,March_27,Poland
FOX,March_25,Russia
FOX,March_25,Russia
FOX,March_25,Ukraine
FOX,March_12,Melitopol
FOX,March_12,Melitopol
FOX,March_12,Ukraine
FOX,March_12,Ukraine
FOX,March_12,Russia
FOX,March_12,Ukraine
FOX,March_12,Vasikyiv
FOX,March_18,UKRAINE
FOX,March_18,Russia
FOX,March_21,US
FOX,March_21,U.S.
FOX,March_21,Russia
FOX,March_21,America
FOX,March_21,U.S.
FOX,March_21,Ukraine
FOX,Maren_15,Iran
FOX,Maren_15,Russia
FOX,Maren_15,Iran
FOX,Maren_15,the Russian Federation
FOX,Maren_15,Iran
FOX,March_16,Russia
FOX,March_16,Ukraine
FOX,March_16,Ukraine
FOX,March_16,Russia
FOX,March_16,Ukraine
FOX,March_16,Russia
FOX,March_16,Russia
FOX,March_16,Ukraine
FOX,March_16,Ukraine
FOX,March_16,Russia
FOX,March_16,Russia
FOX,March_16,Russia
FOX,Maren_19,Russia
FOX,Maren_19,China
FOX,Maren_19,Russia
